"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Pennsylvania","Unclassified Arrest",0,0,0,0,0,0
"Pennsylvania","Weapons",1869,1192,666,589,286,977
"Pennsylvania","Larceny",10218,27756,3241,5251,3520,5082
"Pennsylvania","Other assaults",10879,30102,3087,4849,2642,5312
"Pennsylvania","Embezzlement",129,233,14,26,12,28
"Pennsylvania","Total Drug Violations",22331,28816,1984,3303,794,4523
"Pennsylvania","Possession (subtotal)",13077,20027,1317,2630,664,3306
"Pennsylvania","Possession-Other drugs",563,2924,49,357,116,291
"Pennsylvania","DUI",6976,44445,37,441,100,381
"Pennsylvania","Liquor",1564,15180,473,5412,2465,3457
"Pennsylvania","Drunkenness",3866,21163,40,270,98,218
"Pennsylvania","Disorderly conduct",11782,32491,5628,9501,5159,10051
"Pennsylvania","All other non-traffic offenses",15817,32321,2008,4385,1650,4772
"Pennsylvania","Vandalism",1335,5941,667,2584,454,2818
"Pennsylvania","Aggravated assault",6196,7390,1492,1119,838,1797
"Pennsylvania","Possession-Marijuana",7554,10196,1072,2039,466,2665
"Pennsylvania","Forgery and counterfeiting",884,1752,32,44,14,62
"Pennsylvania","Fraud",1886,5394,66,151,72,146
"Pennsylvania","Stolen property",876,1495,238,263,110,393
"Pennsylvania","Robbery",3240,1948,1367,348,183,1542
"Pennsylvania","Burglary",2029,5762,558,1165,150,1581
"Pennsylvania","Rape",328,487,81,92,0,173
"Pennsylvania","Possession-Opiates",4282,5352,171,109,40,242
"Pennsylvania","Sale (subtotal)",9254,8789,667,673,130,1217
"Pennsylvania","Sale-Other drugs",220,565,7,45,9,43
"Pennsylvania","Possession-Synthetic narcotics",678,1555,25,125,42,108
"Pennsylvania","Curfew and Loitering",0,0,13045,5934,4709,14507
"Pennsylvania","Sex offenses",432,1730,177,412,54,536
"Pennsylvania","Family offenses",241,979,9,27,11,26
"Pennsylvania","Motor vehicle theft",859,1135,265,364,53,581
"Pennsylvania","Murder and manslaughter",338,174,37,7,4,40
"Pennsylvania","Vagrancy",878,331,88,43,3,128
"Pennsylvania","Runaways",0,0,447,1233,902,788
"Pennsylvania","Arson",98,321,56,183,30,211
"Pennsylvania","Sale-Opiates",5714,4818,384,257,57,586
"Pennsylvania","Sale-Synthetic narcotics",547,887,18,62,20,61
"Pennsylvania","Sale-Marijuana",2773,2519,258,309,44,527
"Pennsylvania","Prostitution",815,1103,5,3,2,6
"Pennsylvania","Manslaughter by negligence",12,27,0,1,0,1
"Pennsylvania","Gambling (total)",115,16,4,0,0,4
"Pennsylvania","All other gambling",86,6,4,0,0,4
"Pennsylvania","Bookmaking (horse and sports)",5,8,0,0,0,0
"Pennsylvania","Number and lottery",24,2,0,0,0,0
