"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"California","Murder and manslaughter",62,152,5,21,2,24
"California","Manslaughter by negligence",5,6,0,0,0,0
"California","Rape",89,219,12,16,2,26
"California","Robbery",1070,1577,406,505,119,792
"California","Aggravated assault",3310,8004,219,630,163,688
"California","Burglary",794,1964,270,565,111,724
"California","Larceny",1711,5337,328,1300,815,820
"California","Motor vehicle theft",555,1102,74,211,48,237
"California","Other assaults",1413,3685,260,728,338,651
"California","Arson",13,30,4,12,5,11
"California","Forgery and counterfeiting",246,853,2,11,3,10
"California","Fraud",177,371,8,22,10,20
"California","Stolen property",226,895,32,80,14,99
"California","Vandalism",420,1671,121,970,103,988
"California","Weapons",999,2098,146,530,61,617
"California","Prostitution",1979,2489,57,17,71,4
"California","Sex offenses",300,1067,41,186,11,216
"California","Total Drug Violations",8206,17230,162,1150,174,1142
"California","Sale (subtotal)",2092,3134,60,311,44,327
"California","Sale-Opiates",1094,1033,22,34,7,49
"California","Sale-Marijuana",861,978,34,171,13,192
"California","Sale-Other drugs",137,1123,4,107,24,87
"California","Possession (subtotal)",6114,14096,102,839,130,815
"California","Possession-Opiates",2879,4458,17,97,24,91
"California","Possession-Marijuana",1759,3733,66,435,53,450
"California","Possession-Other drugs",1476,5905,19,307,53,274
"California","Family offenses",8,13,0,0,0,0
"California","DUI",1404,9334,0,19,6,13
"California","Liquor",337,2845,12,286,46,252
"California","Drunkenness",92,590,1,27,7,21
"California","Disorderly conduct",53,181,29,100,36,93
"California","Vagrancy",62,105,5,17,3,19
"California","All other non-traffic offenses",12601,32290,880,6224,1440,5673
"California","Embezzlement",45,74,0,4,2,2
"California","Gambling (total)",25,286,0,3,0,3
"California","All other gambling",24,286,0,3,0,3
"California","Runaways",0,0,9,19,14,14
"California","Curfew and Loitering",0,0,302,3155,882,2579
"California","Bookmaking (horse and sports)",1,0,0,0,0,0
