"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Pennsylvania","Unclassified Arrest",0,0,0,0,0,0
"Pennsylvania","Murder and manslaughter",208,26,20,3,2,21
"Pennsylvania","Manslaughter by negligence",7,5,0,0,0,0
"Pennsylvania","Rape",213,86,47,10,0,57
"Pennsylvania","Robbery",1966,534,828,93,115,812
"Pennsylvania","Aggravated assault",3166,1208,515,139,206,462
"Pennsylvania","Burglary",914,545,164,60,17,208
"Pennsylvania","Larceny",3650,2262,973,203,551,651
"Pennsylvania","Motor vehicle theft",623,274,153,48,10,194
"Pennsylvania","Other assaults",3445,1362,1004,181,395,792
"Pennsylvania","Arson",54,27,13,9,3,19
"Pennsylvania","Forgery and counterfeiting",230,29,1,0,0,1
"Pennsylvania","Fraud",534,204,9,1,3,7
"Pennsylvania","Embezzlement",107,60,9,1,4,6
"Pennsylvania","Stolen property",28,8,5,1,2,4
"Pennsylvania","Vandalism",201,214,77,87,24,141
"Pennsylvania","Weapons",988,214,372,88,159,304
"Pennsylvania","Prostitution",483,553,4,2,2,4
"Pennsylvania","Sex offenses",220,160,93,34,10,118
"Pennsylvania","Total Drug Violations",12675,5695,1048,364,104,1323
"Pennsylvania","Sale (subtotal)",5200,2805,388,185,44,534
"Pennsylvania","Sale-Opiates",3054,1965,237,123,28,333
"Pennsylvania","Sale-Marijuana",1803,504,143,52,15,183
"Pennsylvania","Sale-Synthetic narcotics",290,287,7,9,1,16
"Pennsylvania","Sale-Other drugs",53,49,1,1,0,2
"Pennsylvania","Possession (subtotal)",7475,2890,660,179,60,789
"Pennsylvania","Possession-Opiates",2909,1717,103,33,11,127
"Pennsylvania","Possession-Marijuana",4019,784,538,139,46,639
"Pennsylvania","Possession-Synthetic narcotics",451,322,16,6,2,20
"Pennsylvania","Possession-Other drugs",96,67,3,1,1,3
"Pennsylvania","Gambling (total)",109,1,4,0,0,4
"Pennsylvania","Number and lottery",24,1,0,0,0,0
"Pennsylvania","All other gambling",80,0,4,0,0,4
"Pennsylvania","Family offenses",26,11,0,0,0,0
"Pennsylvania","DUI",2974,2136,8,13,2,20
"Pennsylvania","Liquor",134,441,8,107,43,72
"Pennsylvania","Drunkenness",229,252,2,1,0,3
"Pennsylvania","Disorderly conduct",2625,1252,809,129,403,538
"Pennsylvania","Vagrancy",763,131,49,3,0,52
"Pennsylvania","All other non-traffic offenses",7292,3141,318,109,117,316
"Pennsylvania","Curfew and Loitering",0,0,11935,3948,3780,12332
"Pennsylvania","Bookmaking (horse and sports)",5,0,0,0,0,0
