"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Virginia","Other assaults",1939,454,282,8,126,164
"Virginia","Total Drug Violations",1608,265,60,9,4,65
"Virginia","Possession (subtotal)",1020,232,50,9,4,55
"Virginia","Possession-Marijuana",441,98,37,7,3,41
"Virginia","Family offenses",271,14,6,0,3,3
"Virginia","DUI",204,350,0,0,0,0
"Virginia","Drunkenness",475,403,2,0,1,1
"Virginia","All other non-traffic offenses",4404,1096,110,7,30,87
"Virginia","Larceny",615,208,62,7,22,47
"Virginia","Motor vehicle theft",55,8,6,1,1,6
"Virginia","Weapons",216,23,17,0,4,14
"Virginia","Disorderly conduct",164,53,142,4,46,100
"Virginia","Aggravated assault",359,76,27,0,13,14
"Virginia","Possession-Opiates",386,83,7,0,0,7
"Virginia","Vandalism",184,80,36,1,8,29
"Virginia","Sale (subtotal)",468,28,9,0,0,9
"Virginia","Sale-Opiates",328,9,7,0,0,7
"Virginia","Sale-Marijuana",86,7,2,0,0,2
"Virginia","Embezzlement",14,11,2,0,2,0
"Virginia","Fraud",253,92,0,1,0,1
"Virginia","Burglary",151,23,24,0,0,24
"Virginia","Stolen property",30,9,4,0,0,4
"Virginia","Sale-Synthetic narcotics",6,4,0,0,0,0
"Virginia","Murder and manslaughter",41,1,0,0,0,0
"Virginia","Rape",15,3,0,0,0,0
"Virginia","Robbery",208,13,9,2,0,11
"Virginia","Forgery and counterfeiting",60,23,1,0,0,1
"Virginia","Sex offenses",28,8,7,0,0,7
"Virginia","Sale-Other drugs",48,8,0,0,0,0
"Virginia","Possession-Synthetic narcotics",31,3,1,0,0,1
"Virginia","Possession-Other drugs",162,48,5,2,1,6
"Virginia","Gambling (total)",3,0,0,0,0,0
"Virginia","Liquor",77,99,6,5,4,7
"Virginia","Curfew and Loitering",0,0,17,1,3,15
"Virginia","Arson",6,1,0,0,0,0
"Virginia","Prostitution",68,47,0,0,0,0
