"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"California","Murder and manslaughter",382,1019,39,98,7,130
"California","Rape",319,1234,46,125,2,171
"California","Robbery",4853,8245,1743,2390,516,3657
"California","Aggravated assault",15762,63170,1463,4951,1468,5048
"California","Burglary",8987,31546,2971,8059,2655,8554
"California","Larceny",11515,50952,3806,16147,10346,10053
"California","Motor vehicle theft",1790,7762,388,1548,350,1616
"California","Other assaults",13415,53101,3146,12136,5107,10430
"California","Forgery and counterfeiting",1316,4785,23,87,38,74
"California","Stolen property",2198,12725,395,1838,313,1960
"California","Vandalism",1941,11180,789,7881,917,7852
"California","Weapons",4632,17175,825,5083,549,5447
"California","Sex offenses",1634,8029,366,1277,234,1424
"California","Total Drug Violations",25787,150765,1234,11033,2419,10059
"California","Sale (subtotal)",6779,24513,302,2193,316,2222
"California","Sale-Opiates",3199,5558,53,259,48,266
"California","Sale-Other drugs",960,11607,32,409,83,366
"California","Possession (subtotal)",19008,126252,936,8867,2108,7865
"California","Possession-Opiates",9538,53278,111,1309,371,1067
"California","Possession-Marijuana",623,3601,662,5350,1163,4955
"California","Possession-Other drugs",8906,69643,159,2188,566,1827
"California","DUI",15163,162900,29,853,231,667
"California","Liquor",934,11389,179,3567,1192,2594
"California","Drunkenness",9485,85347,169,2711,847,2112
"California","Disorderly conduct",686,3584,1638,5225,2744,4210
"California","All other non-traffic offenses",63073,219373,3826,25500,6900,22812
"California","Fraud",1712,5447,80,249,105,232
"California","Prostitution",4666,5513,233,89,277,47
"California","Sale-Marijuana",2621,7349,217,1525,185,1590
"California","Runaways",0,0,451,3611,2157,1958
"California","Arson",98,449,76,413,52,443
"California","Family offenses",37,196,1,7,7,1
"California","Embezzlement",220,835,4,8,4,9
"California","Gambling (total)",68,491,8,12,1,19
"California","All other gambling",67,487,8,12,1,19
"California","Manslaughter by negligence",13,175,0,5,2,3
"California","Vagrancy",746,4205,55,215,28,243
"California","Curfew and Loitering",0,0,998,7352,2437,6004
"California","Unclassified Arrest",0,0,0,0,0,0
"California","Bookmaking (horse and sports)",1,4,0,0,0,0
