"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Rhode Island","Unclassified Arrest",0,0,0,0,0,0
"Rhode Island","Larceny",360,1807,172,469,290,364
"Rhode Island","Other assaults",738,3017,145,452,222,390
"Rhode Island","Total Drug Violations",652,2457,49,364,38,383
"Rhode Island","Possession (subtotal)",468,2032,45,329,35,347
"Rhode Island","Possession-Marijuana",313,1366,42,300,31,319
"Rhode Island","Family offenses",6,35,13,70,52,32
"Rhode Island","DUI",114,2355,0,13,3,10
"Rhode Island","Liquor",25,558,5,84,36,56
"Rhode Island","Disorderly conduct",385,1869,212,643,315,569
"Rhode Island","All other non-traffic offenses",2133,8057,169,457,164,475
"Rhode Island","Burglary",136,524,61,141,20,185
"Rhode Island","Fraud",69,462,6,11,4,13
"Rhode Island","Vandalism",170,722,69,241,46,276
"Rhode Island","Aggravated assault",126,368,21,51,13,64
"Rhode Island","Arson",10,24,2,10,0,12
"Rhode Island","Stolen property",55,220,20,42,14,48
"Rhode Island","Weapons",78,176,50,87,13,131
"Rhode Island","Sale (subtotal)",177,406,2,30,3,29
"Rhode Island","Sale-Marijuana",49,186,2,26,3,25
"Rhode Island","Possession-Opiates",126,365,1,7,2,6
"Rhode Island","Sale-Opiates",118,176,0,0,0,0
"Rhode Island","Embezzlement",21,86,0,3,2,1
"Rhode Island","Possession-Other drugs",16,181,2,15,2,15
"Rhode Island","Possession-Synthetic narcotics",13,120,0,7,0,7
"Rhode Island","Forgery and counterfeiting",23,72,1,4,0,5
"Rhode Island","Sale-Synthetic narcotics",7,13,0,3,0,3
"Rhode Island","Rape",10,31,5,9,0,14
"Rhode Island","Sex offenses",14,55,2,21,2,22
"Rhode Island","Motor vehicle theft",20,70,10,15,4,22
"Rhode Island","Runaways",0,0,19,31,33,18
"Rhode Island","Sale-Other drugs",3,31,0,1,0,1
"Rhode Island","Robbery",41,95,28,23,2,50
"Rhode Island","Drunkenness",0,4,0,0,0,0
"Rhode Island","Prostitution",11,55,0,0,0,0
"Rhode Island","Curfew and Loitering",0,0,9,12,8,13
"Rhode Island","Murder and manslaughter",2,5,0,0,0,0
"Rhode Island","Manslaughter by negligence",0,1,0,0,0,0
"Rhode Island","Vagrancy",0,1,0,0,0,0
"Rhode Island","Gambling (total)",0,11,0,0,0,0
