"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Texas","Aggravated assault",760,460,44,31,31,44
"Texas","Larceny",1788,1780,318,284,245,368
"Texas","Weapons",396,329,21,22,4,39
"Texas","Total Drug Violations",2939,2908,55,165,27,193
"Texas","Possession (subtotal)",2537,2568,41,132,22,151
"Texas","Possession-Opiates",1124,1469,7,29,6,30
"Texas","Possession-Marijuana",1236,667,29,90,12,107
"Texas","Possession-Synthetic narcotics",7,5,1,5,2,4
"Texas","DUI",371,1911,1,9,0,10
"Texas","Liquor",11,38,0,0,0,0
"Texas","Drunkenness",3543,7533,4,55,12,48
"Texas","All other non-traffic offenses",10639,6658,235,229,113,353
"Texas","Burglary",322,244,119,144,17,246
"Texas","Motor vehicle theft",111,159,12,14,1,25
"Texas","Other assaults",2368,2043,228,135,124,239
"Texas","Sale (subtotal)",402,340,14,33,5,42
"Texas","Sale-Marijuana",23,5,9,14,2,21
"Texas","Sale-Opiates",344,246,4,14,2,16
"Texas","Disorderly conduct",388,284,13,10,4,19
"Texas","Sex offenses",70,157,16,8,1,24
"Texas","Sale-Other drugs",35,88,0,4,1,3
"Texas","Vandalism",132,113,20,26,3,43
"Texas","Possession-Other drugs",170,427,4,8,2,10
"Texas","Runaways",0,0,138,145,191,94
"Texas","Fraud",43,74,2,1,1,2
"Texas","Sale-Synthetic narcotics",0,1,1,1,0,2
"Texas","Rape",32,40,8,7,0,15
"Texas","Murder and manslaughter",4,3,7,0,0,7
"Texas","Manslaughter by negligence",0,7,0,0,0,0
"Texas","Robbery",225,125,59,32,12,79
"Texas","Arson",3,4,3,0,0,3
"Texas","Forgery and counterfeiting",176,102,0,3,1,2
"Texas","Stolen property",3,1,4,2,3,3
"Texas","Prostitution",887,588,32,7,35,4
"Texas","Family offenses",55,37,0,0,0,0
"Texas","Curfew and Loitering",0,0,17,9,9,17
"Texas","Embezzlement",1,1,0,0,0,0
"Texas","Gambling (total)",0,1,0,0,0,0
"Texas","All other gambling",0,1,0,0,0,0
