"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Tennessee","Murder and manslaughter",66,8,6,1,0,7
"Tennessee","Manslaughter by negligence",2,0,1,1,1,1
"Tennessee","Rape",72,14,17,1,0,18
"Tennessee","Robbery",517,43,268,1,16,254
"Tennessee","Aggravated assault",1170,128,187,8,60,137
"Tennessee","Burglary",1157,127,502,44,22,528
"Tennessee","Larceny",2894,779,870,141,469,557
"Tennessee","Motor vehicle theft",252,39,41,6,5,42
"Tennessee","Other assaults",4298,664,2173,76,886,1378
"Tennessee","Forgery and counterfeiting",327,55,14,1,3,12
"Tennessee","Fraud",265,54,12,0,5,7
"Tennessee","Embezzlement",66,8,1,0,1,0
"Tennessee","Stolen property",143,27,14,1,3,12
"Tennessee","Vandalism",378,62,274,16,38,254
"Tennessee","Weapons",657,64,225,18,40,204
"Tennessee","Prostitution",906,274,7,1,5,3
"Tennessee","Sex offenses",81,21,55,6,5,56
"Tennessee","Total Drug Violations",4748,794,403,51,41,416
"Tennessee","Sale (subtotal)",1559,317,92,12,9,96
"Tennessee","Sale-Opiates",410,52,12,1,1,12
"Tennessee","Sale-Marijuana",785,80,67,9,7,70
"Tennessee","Sale-Synthetic narcotics",111,17,1,0,1,0
"Tennessee","Sale-Other drugs",253,168,12,2,0,14
"Tennessee","Possession (subtotal)",3153,465,310,39,32,319
"Tennessee","Possession-Opiates",561,142,4,5,1,8
"Tennessee","Possession-Marijuana",2119,184,274,32,28,280
"Tennessee","Possession-Synthetic narcotics",194,33,12,0,1,11
"Tennessee","Possession-Other drugs",279,106,20,2,2,20
"Tennessee","Gambling (total)",84,1,45,1,2,44
"Tennessee","DUI",785,706,2,3,0,5
"Tennessee","Liquor",1433,244,4,14,5,13
"Tennessee","Drunkenness",642,387,61,8,6,63
"Tennessee","Disorderly conduct",3264,663,1059,23,345,744
"Tennessee","All other non-traffic offenses",10874,1973,1486,114,364,1256
"Tennessee","Curfew and Loitering",0,0,577,63,200,446
"Tennessee","Runaways",0,0,48,3,26,27
"Tennessee","Arson",18,2,16,2,1,17
"Tennessee","Vagrancy",7,0,0,0,0,0
"Tennessee","Family offenses",5,0,0,0,0,0
