"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"California","Murder and manslaughter",38,38,0,3,0,3
"California","Rape",21,26,4,0,0,4
"California","Robbery",298,225,109,49,14,147
"California","Aggravated assault",1157,1590,84,81,45,126
"California","Burglary",436,711,211,134,38,310
"California","Larceny",846,1519,228,260,292,205
"California","Motor vehicle theft",82,238,27,15,4,39
"California","Other assaults",730,1012,186,214,139,270
"California","Arson",14,19,2,6,1,7
"California","Forgery and counterfeiting",80,84,3,0,2,1
"California","Fraud",122,127,8,4,2,10
"California","Embezzlement",14,38,0,0,0,0
"California","Stolen property",139,290,24,16,5,35
"California","Vandalism",118,191,30,49,18,63
"California","Weapons",301,477,49,104,16,140
"California","Prostitution",143,106,15,9,22,2
"California","Sex offenses",118,239,12,13,1,24
"California","Total Drug Violations",1392,2779,108,232,57,287
"California","Sale (subtotal)",293,458,19,54,11,63
"California","Sale-Opiates",142,81,3,3,0,6
"California","Sale-Marijuana",96,111,13,43,9,48
"California","Sale-Other drugs",55,266,3,8,2,9
"California","Possession (subtotal)",1099,2321,89,178,46,224
"California","Possession-Opiates",445,550,10,7,5,12
"California","Possession-Marijuana",20,40,72,153,38,189
"California","Possession-Other drugs",637,1736,11,23,3,32
"California","Liquor",50,218,4,23,9,18
"California","Drunkenness",703,2187,2,10,2,10
"California","Disorderly conduct",24,90,38,29,23,45
"California","All other non-traffic offenses",2899,4744,304,353,136,526
"California","Family offenses",5,7,0,0,0,0
"California","DUI",429,1235,1,3,1,3
"California","Vagrancy",2,25,6,4,0,10
"California","Gambling (total)",0,8,0,0,0,0
"California","All other gambling",0,8,0,0,0,0
"California","Manslaughter by negligence",0,3,0,0,0,0
