"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"California","Murder and manslaughter",4,13,0,2,0,2
"California","Rape",3,31,0,3,0,3
"California","Robbery",47,200,12,123,37,98
"California","Aggravated assault",189,1287,16,166,25,161
"California","Burglary",54,398,17,111,11,119
"California","Larceny",140,1254,86,751,417,450
"California","Motor vehicle theft",13,164,12,122,26,108
"California","Other assaults",133,920,82,665,230,528
"California","Arson",0,7,3,23,1,25
"California","Forgery and counterfeiting",24,50,1,1,0,2
"California","Fraud",17,78,0,17,6,11
"California","Embezzlement",2,21,0,1,2,0
"California","Stolen property",10,122,3,41,8,38
"California","Vandalism",22,202,30,448,48,437
"California","Weapons",29,381,21,352,36,338
"California","Prostitution",212,198,13,3,16,0
"California","Sex offenses",26,196,8,69,18,59
"California","Total Drug Violations",203,1997,7,197,48,161
"California","Sale (subtotal)",39,397,4,93,22,77
"California","Sale-Opiates",19,83,0,9,4,5
"California","Sale-Marijuana",13,142,4,72,16,62
"California","Sale-Other drugs",7,172,0,12,2,10
"California","Possession (subtotal)",164,1600,3,104,26,84
"California","Possession-Opiates",78,686,3,54,18,41
"California","Possession-Marijuana",7,22,0,1,0,1
"California","Possession-Other drugs",79,892,0,49,8,42
"California","DUI",71,1378,0,21,6,17
"California","Liquor",5,70,12,105,48,69
"California","Drunkenness",109,1119,8,126,49,89
"California","Disorderly conduct",10,68,40,384,149,283
"California","Vagrancy",2,9,0,4,3,1
"California","All other non-traffic offenses",304,2414,72,1059,350,818
"California","Gambling (total)",3,4,1,0,0,1
"California","All other gambling",3,4,1,0,0,1
"California","Curfew and Loitering",0,0,0,8,1,7
"California","Manslaughter by negligence",0,1,0,0,0,0
"California","Family offenses",1,4,0,0,0,0
